ID Produto;Nome;Referência;Qtd Inicial;Qtd Atual;Variação Qtd;Valor Inicial;Valor Atual;Variação Valor;Total Movimentações;Data Cálculo
3061;REVELADOR CD70/310 2613/13Z/2713/13Z(1KGX1);12131;16.000;16.000;0.000;1360.55;1360.55;0.00;0;01/03/2025
3063;TONER 3235/3245/P7045(700GX1);21351;3.000;3.000;0.000;410.17;410.17;0.00;0;01/03/2025
3068;REVELADOR T28 DSM615/618(345GX10 MARCA RICOH).;B1219645;191.000;191.000;0.000;31640.85;31640.85;0.00;0;01/03/2025
3073;HOLF COMPLEMENTO;HOLF;22.000;22.000;0.000;9281.53;9281.53;0.00;0;01/03/2025
3083;CARTUCHO DE TONER 1130 DSM615/616/620 MARCA RICOH;888215;127.000;127.000;0.000;8448.94;8448.94;0.00;0;01/03/2025
3084;ENGRENAGEM 5305/15/25/75;C2005207;5.000;5.000;0.000;66.55;66.55;0.00;0;01/03/2025
3086;CHAPA AMORTECEDORA 5303;C2174597;1.000;1.000;0.000;6.63;6.63;0.00;0;01/03/2025
3090;ENGRENAGEM 15TH(AB013438);AB013746;3.000;3.000;0.000;11.85;11.85;0.00;0;01/03/2025
3092;MASTER CPMT15 5306 GESTETNER;41061;35.000;35.000;0.000;3501.16;3501.16;0.00;0;01/03/2025
3093;TINTA PRETA CPI6 5306 (600CCX) RICOH;42061;100.000;100.000;0.000;2184.43;2184.43;0.00;0;01/03/2025
3098;CORREIA;AA043396;1.000;1.000;0.000;13.94;13.94;0.00;0;01/03/2025
3104;ROLO FUSOR SUPERIOR RC FT 3113/2613/2713z KATUN;70011994;2.000;2.000;0.000;156.90;156.90;0.00;0;01/03/2025
3105;LAMINA DE LIMPEZA TAMBOR RC FT 3013/2613/2713 KT;70012935;1.000;1.000;0.000;28.68;28.68;0.00;0;01/03/2025
3113;UNHA SEPARADORA SUP.2727/2635;70015257;6.000;6.000;0.000;55.08;55.08;0.00;0;01/03/2025
3137;TINTA PRETA 5306 KT TYPE PJ-6(93102176);931027982;76.000;76.000;0.000;1283.24;1283.24;0.00;0;01/03/2025
3138;TINTA PRETA5380CPI2KATUN(VT/SS5304/27/29-931021956;970027979;41.000;41.000;0.000;548.17;548.17;0.00;0;01/03/2025
3139;MASTER TERMICO 5327/29 TYPE 9 KT;931018089;24.000;24.000;0.000;2493.14;2493.14;0.00;0;01/03/2025
3141;TONER PRETO RC AFICIO 1015/1502/1312 KT;70028661;505.000;505.000;0.000;19369.53;19369.53;0.00;0;01/03/2025
3142;LAMINA DE LIMPEZA AFICIO 1015/1502/1312 KT;70021585;190.000;190.000;0.000;4896.81;4896.81;0.00;0;01/03/2025
3145;TONER PRETO RC4015 2913/2818/3813 KATUN;70016069;34.000;34.000;0.000;1240.86;1240.86;0.00;0;01/03/2025
3148;ROLO FUSOR SUP.1015.1502/1312 KT(70023852);70028710;27.000;27.000;0.000;1894.34;1894.34;0.00;0;01/03/2025
3151;CILINDRO OPC AFICIO 1312/1502/1015/ KATUN;70021670;131.000;131.000;0.000;13957.89;13957.89;0.00;0;01/03/2025
3156;LAMINA DE LIMPEZA DO TAMBOR 4015/2818 KT;70016502;1.000;1.000;0.000;29.73;29.73;0.00;0;01/03/2025
3158;CILINDRO ORG.FT 3013/3213/2713/2613 KT;70010167;3.000;3.000;0.000;542.41;542.41;0.00;0;01/03/2025
3176;SUPORTE TRASEIRO 5303;C2174550;1.000;1.000;0.000;5.64;5.64;0.00;0;01/03/2025
3182;MASTER JP12 SV2 RICOH;41091;19.000;19.000;0.000;3167.27;3167.27;0.00;0;01/03/2025
3184;TONER CYAN C7417 GESTETNER;61010;1.000;1.000;0.000;214.50;214.50;0.00;0;01/03/2025
3187;ROLO ALIMENTAÇÃO PAPAEL 1502 RICOH.;B0392740;26.000;26.000;0.000;353.85;353.85;0.00;0;01/03/2025
3197;TELA DE SEDA A3-5430;C2382381;1.000;1.000;0.000;309.91;309.91;0.00;0;01/03/2025
3198;CORREIA 80S3M5;AA043420;1.000;1.000;0.000;11.06;11.06;0.00;0;01/03/2025
3200;MASTER TERMICO JPM-10 B4 5306b KT;931021979;20.000;20.000;0.000;2304.58;2304.58;0.00;0;01/03/2025
3203;DUPL.COPYPRINTER IMPRESS.DIGITAL 5309L;40091;1.000;1.000;0.000;4632.39;4632.39;0.00;0;01/03/2025
3209;ADAPTADOR T85 P/UC5-5455;54103;1.000;1.000;0.000;540.40;540.40;0.00;0;01/03/2025
