codigo,nome,quantidade
2985,Nome não encontrado,0.0
2989,Nome não encontrado,0.0
2994,Nome não encontrado,1.0
301,Nome não encontrado,0.0
3024,Nome não encontrado,521.0
3025,Nome não encontrado,2.0
3032,Nome não encontrado,0.0
3034,Nome não encontrado,0.0
3035,Nome não encontrado,2.0
3037,Nome não encontrado,0.0
3038,Nome não encontrado,0.0
3051,Nome não encontrado,8.0
3054,Nome não encontrado,0.0
3055,Nome não encontrado,0.0
3056,Nome não encontrado,76.0
3057,Nome não encontrado,40.0
3059,Nome não encontrado,0.0
3060,Nome não encontrado,0.0
3061,Nome não encontrado,0.0
3063,Nome não encontrado,3.0
3068,Nome não encontrado,10.0
3073,Nome não encontrado,24.0
3074,Nome não encontrado,0.0
3078,Nome não encontrado,1.0
3083,Nome não encontrado,305.0
3084,Nome não encontrado,0.0
3086,Nome não encontrado,1.0
3090,Nome não encontrado,3.0
3092,Nome não encontrado,0.0
3093,Nome não encontrado,0.0
3098,Nome não encontrado,1.0
310,Nome não encontrado,0.0
3103,Nome não encontrado,0.0
3104,Nome não encontrado,8.0
3105,Nome não encontrado,0.0
3106,Nome não encontrado,2.0
3112,Nome não encontrado,0.0
3113,Nome não encontrado,8.0
3114,Nome não encontrado,2.0
3132,Nome não encontrado,12.0
3133,Nome não encontrado,8.0
3136,Nome não encontrado,60.0
3137,Nome não encontrado,328.0
3138,Nome não encontrado,89.0
3139,Nome não encontrado,10.0
3140,Nome não encontrado,112.0
3141,Nome não encontrado,154.0
3142,Nome não encontrado,12.0
3144,Nome não encontrado,8.0
3145,Nome não encontrado,6.0
3146,Nome não encontrado,8.0
3148,Nome não encontrado,49.0
3149,Nome não encontrado,1.0
3150,Nome não encontrado,0.0
3151,Nome não encontrado,232.0
3152,Nome não encontrado,0.0
3153,Nome não encontrado,0.0
3154,Nome não encontrado,0.0
3156,Nome não encontrado,15.0
3157,Nome não encontrado,4.0
3158,Nome não encontrado,2.0
3161,Nome não encontrado,0.0
3171,Nome não encontrado,0.0
3176,Nome não encontrado,0.0
3178,Nome não encontrado,0.0
3182,Nome não encontrado,119.0
3183,Nome não encontrado,0.0
3184,Nome não encontrado,0.0
3187,Nome não encontrado,38.0
3193,Nome não encontrado,0.0
3197,Nome não encontrado,1.0
3198,Nome não encontrado,1.0
3200,Nome não encontrado,2.0
3203,Nome não encontrado,1.0
3209,Nome não encontrado,1.0
3211,Nome não encontrado,0.0
3214,Nome não encontrado,1.0
3218,Nome não encontrado,46.0
3221,Nome não encontrado,6.0
3222,Nome não encontrado,5.0
3225,Nome não encontrado,1.0
3228,Nome não encontrado,1.0
3232,Nome não encontrado,0.0
3233,Nome não encontrado,1.0
3240,Nome não encontrado,2.0
3241,Nome não encontrado,2.0
3243,Nome não encontrado,4.0
3252,Nome não encontrado,0.0
3256,Nome não encontrado,4.0
3260,Nome não encontrado,103.0
3261,Nome não encontrado,140.0
3262,Nome não encontrado,1.0
3264,Nome não encontrado,1.0
3266,Nome não encontrado,0.0
3267,Nome não encontrado,10.0
3270,Nome não encontrado,1.0
3287,Nome não encontrado,1.0
3288,Nome não encontrado,26.0
3289,Nome não encontrado,0.0
3303,Nome não encontrado,0.0
3308,Nome não encontrado,2.0
3310,Nome não encontrado,275.0
3321,Nome não encontrado,337.0
3322,Nome não encontrado,0.0
3323,Nome não encontrado,0.0
3324,Nome não encontrado,0.0
3325,Nome não encontrado,0.0
3326,Nome não encontrado,0.0
3327,Nome não encontrado,1.0
3331,Nome não encontrado,0.0
3333,Nome não encontrado,2.0
3336,Nome não encontrado,16.0
3343,Nome não encontrado,3.0
3344,Nome não encontrado,0.0
3346,Nome não encontrado,1.0
3348,Nome não encontrado,0.0
3349,Nome não encontrado,0.0
3350,Nome não encontrado,0.0
3351,Nome não encontrado,0.0
3357,Nome não encontrado,1.0
3358,Nome não encontrado,3.0
336,Nome não encontrado,1.0
3360,Nome não encontrado,4.0
3362,Nome não encontrado,0.0
3364,Nome não encontrado,0.0
338,Nome não encontrado,2.0
3382,Nome não encontrado,2.0
3386,Nome não encontrado,0.0
3387,Nome não encontrado,0.0
3389,Nome não encontrado,1.0
3391,Nome não encontrado,3.0
3393,Nome não encontrado,2.0
3396,Nome não encontrado,3.0
3397,Nome não encontrado,3.0
3407,Nome não encontrado,1.0
3408,Nome não encontrado,0.0
3410,Nome não encontrado,170.0
3419,Nome não encontrado,1.0
3420,Nome não encontrado,1.0
3421,Nome não encontrado,1.0
3427,Nome não encontrado,0.0
3428,Nome não encontrado,0.0
3430,Nome não encontrado,1.0
3435,Nome não encontrado,0.0
3439,Nome não encontrado,0.0
344,Nome não encontrado,1.0
3443,Nome não encontrado,4.0
3444,Nome não encontrado,0.0
3445,Nome não encontrado,4.0
3446,Nome não encontrado,0.0
3452,Nome não encontrado,0.0
346,Nome não encontrado,0.0
3463,Nome não encontrado,0.0
3464,Nome não encontrado,2.0
3467,Nome não encontrado,0.0
3470,Nome não encontrado,0.0
3471,Nome não encontrado,0.0
3473,Nome não encontrado,0.0
3474,Nome não encontrado,1.0
3476,Nome não encontrado,0.0
3479,Nome não encontrado,0.0
3481,Nome não encontrado,0.0
3484,Nome não encontrado,2.0
3485,Nome não encontrado,0.0
3486,Nome não encontrado,0.0
3487,Nome não encontrado,0.0
3488,Nome não encontrado,0.0
3489,Nome não encontrado,0.0
3490,Nome não encontrado,0.0
3491,Nome não encontrado,2.0
3492,Nome não encontrado,0.0
3494,Nome não encontrado,0.0
3498,Nome não encontrado,0.0
3499,Nome não encontrado,0.0
3503,Nome não encontrado,-1.0
3504,Nome não encontrado,0.0
3514,Nome não encontrado,0.0
3517,Nome não encontrado,0.0
3522,Nome não encontrado,6.0
3524,Nome não encontrado,0.0
3525,Nome não encontrado,16.0
3528,Nome não encontrado,1.0
3536,Nome não encontrado,0.0
3547,Nome não encontrado,0.0
3549,Nome não encontrado,1.0
3551,Nome não encontrado,1.0
3564,Nome não encontrado,1366.0
3570,Nome não encontrado,0.0
3571,Nome não encontrado,0.0
3581,Nome não encontrado,1.0
3582,Nome não encontrado,0.0
3585,Nome não encontrado,0.0
3586,Nome não encontrado,1.0
3587,Nome não encontrado,0.0
3588,Nome não encontrado,2.0
3590,Nome não encontrado,32.0
3591,Nome não encontrado,4.0
3592,Nome não encontrado,120.0
3600,Nome não encontrado,0.0
3601,Nome não encontrado,0.0
3602,Nome não encontrado,0.0
3603,Nome não encontrado,0.0
3604,Nome não encontrado,0.0
3605,Nome não encontrado,0.0
3606,Nome não encontrado,0.0
3608,Nome não encontrado,0.0
3609,Nome não encontrado,0.0
3610,Nome não encontrado,-1.0
3611,Nome não encontrado,1.0
3612,Nome não encontrado,0.0
3613,Nome não encontrado,0.0
3614,Nome não encontrado,0.0
3615,Nome não encontrado,0.0
3616,Nome não encontrado,2.0
3617,Nome não encontrado,0.0
3618,Nome não encontrado,0.0
3621,Nome não encontrado,2.0
3622,Nome não encontrado,0.0
3623,Nome não encontrado,19.0
3624,Nome não encontrado,2.0
3625,Nome não encontrado,-1.0
3626,Nome não encontrado,0.0
3627,Nome não encontrado,8.0
3628,Nome não encontrado,0.0
3630,Nome não encontrado,0.0
3631,Nome não encontrado,0.0
3632,Nome não encontrado,0.0
3633,Nome não encontrado,0.0
3636,Nome não encontrado,2.0
3637,Nome não encontrado,2.0
3639,Nome não encontrado,0.0
3642,Nome não encontrado,0.0
3643,Nome não encontrado,0.0
3645,Nome não encontrado,0.0
3646,Nome não encontrado,0.0
3647,Nome não encontrado,0.0
3649,Nome não encontrado,0.0
3650,Nome não encontrado,0.0
3651,Nome não encontrado,0.0
3652,Nome não encontrado,0.0
3653,Nome não encontrado,1.0
3657,Nome não encontrado,0.0
3658,Nome não encontrado,1.0
3659,Nome não encontrado,1.0
3661,Nome não encontrado,2.0
3662,Nome não encontrado,3.0
3663,Nome não encontrado,0.0
3664,Nome não encontrado,0.0
3665,Nome não encontrado,0.0
3668,Nome não encontrado,0.0
3669,Nome não encontrado,0.0
3670,Nome não encontrado,0.0
3671,Nome não encontrado,347.0
3672,Nome não encontrado,0.0
3673,Nome não encontrado,0.0
3675,Nome não encontrado,0.0
3676,Nome não encontrado,0.0
3677,Nome não encontrado,0.0
3678,Nome não encontrado,0.0
3679,Nome não encontrado,0.0
3680,Nome não encontrado,0.0
3681,Nome não encontrado,0.0
3682,Nome não encontrado,1.0
3684,Nome não encontrado,1.0
3685,Nome não encontrado,0.0
3686,Nome não encontrado,1.0
3688,Nome não encontrado,0.0
3689,Nome não encontrado,3.0
3691,Nome não encontrado,46.0
3692,Nome não encontrado,0.0
3693,Nome não encontrado,0.0
3694,Nome não encontrado,0.0
3695,Nome não encontrado,0.0
3696,Nome não encontrado,0.0
3697,Nome não encontrado,0.0
3699,Nome não encontrado,1.0
3700,Nome não encontrado,0.0
3701,Nome não encontrado,1.0
3702,Nome não encontrado,1.0
3703,Nome não encontrado,0.0
3704,Nome não encontrado,8.0
3705,Nome não encontrado,0.0
3706,Nome não encontrado,0.0
3707,Nome não encontrado,0.0
3709,Nome não encontrado,0.0
3710,Nome não encontrado,0.0
3711,Nome não encontrado,1.0
3712,Nome não encontrado,0.0
3713,Nome não encontrado,0.0
3714,Nome não encontrado,0.0
3715,Nome não encontrado,0.0
3716,Nome não encontrado,0.0
3717,Nome não encontrado,6.0
3718,Nome não encontrado,0.0
3719,Nome não encontrado,2.0
3721,Nome não encontrado,0.0
3722,Nome não encontrado,0.0
3723,Nome não encontrado,0.0
3724,Nome não encontrado,0.0
3725,Nome não encontrado,0.0
3726,Nome não encontrado,0.0
3727,Nome não encontrado,4.0
3728,Nome não encontrado,0.0
3729,Nome não encontrado,550.0
3730,Nome não encontrado,2.0
3731,Nome não encontrado,36.0
3732,Nome não encontrado,0.0
3734,Nome não encontrado,1.0
3736,Nome não encontrado,0.0
3737,Nome não encontrado,0.0
3738,Nome não encontrado,0.0
3739,Nome não encontrado,0.0
3740,Nome não encontrado,1.0
3741,Nome não encontrado,19.0
3742,Nome não encontrado,5.0
3743,Nome não encontrado,1.0
3744,Nome não encontrado,0.0
3745,Nome não encontrado,0.0
3746,Nome não encontrado,0.0
3748,Nome não encontrado,1.0
3749,Nome não encontrado,1.0
375,Nome não encontrado,3.0
3752,Nome não encontrado,5.0
3753,Nome não encontrado,3.0
3754,Nome não encontrado,5.0
3755,Nome não encontrado,10.0
3756,Nome não encontrado,42.0
3757,Nome não encontrado,0.0
3758,Nome não encontrado,53.0
3759,Nome não encontrado,12.0
3760,Nome não encontrado,84.0
3761,Nome não encontrado,0.0
3762,Nome não encontrado,1.0
3763,Nome não encontrado,1.0
3764,Nome não encontrado,5.0
3765,Nome não encontrado,168.0
3766,Nome não encontrado,0.0
3767,Nome não encontrado,1.0
3768,Nome não encontrado,2.0
3771,Nome não encontrado,2.0
3772,Nome não encontrado,2.0
3773,Nome não encontrado,1.0
3774,Nome não encontrado,2.0
3775,Nome não encontrado,0.0
3776,Nome não encontrado,0.0
3777,Nome não encontrado,0.0
3778,Nome não encontrado,0.0
3779,Nome não encontrado,3.0
3780,Nome não encontrado,0.0
3781,Nome não encontrado,1.0
3782,Nome não encontrado,0.0
3783,Nome não encontrado,0.0
3784,Nome não encontrado,0.0
3785,Nome não encontrado,0.0
3786,Nome não encontrado,0.0
3787,Nome não encontrado,0.0
3788,Nome não encontrado,0.0
3789,Nome não encontrado,0.0
3790,Nome não encontrado,1.0
3791,Nome não encontrado,0.0
3792,Nome não encontrado,1.0
3795,Nome não encontrado,0.0
3796,Nome não encontrado,1.0
3797,Nome não encontrado,0.0
3798,Nome não encontrado,0.0
3799,Nome não encontrado,1.0
3800,Nome não encontrado,2.0
3801,Nome não encontrado,0.0
3802,Nome não encontrado,8.0
3803,Nome não encontrado,1.0
3804,Nome não encontrado,1.0
3805,Nome não encontrado,2.0
3806,Nome não encontrado,8.0
3807,Nome não encontrado,0.0
3809,Nome não encontrado,0.0
3811,Nome não encontrado,0.0
3812,Nome não encontrado,0.0
3813,Nome não encontrado,0.0
3814,Nome não encontrado,0.0
3815,Nome não encontrado,0.0
3817,Nome não encontrado,0.0
3818,Nome não encontrado,0.0
3819,Nome não encontrado,0.0
3820,Nome não encontrado,5.0
3821,Nome não encontrado,0.0
3822,Nome não encontrado,5.0
3823,Nome não encontrado,0.0
3824,Nome não encontrado,2.0
3825,Nome não encontrado,0.0
3827,Nome não encontrado,0.0
3828,Nome não encontrado,1.0
3829,Nome não encontrado,0.0
3830,Nome não encontrado,1.0
3831,Nome não encontrado,0.0
3832,Nome não encontrado,6.0
3833,Nome não encontrado,0.0
3834,Nome não encontrado,3.0
3835,Nome não encontrado,0.0
3836,Nome não encontrado,0.0
3837,Nome não encontrado,1.0
3838,Nome não encontrado,1.0
3839,Nome não encontrado,1.0
3840,Nome não encontrado,2.0
3841,Nome não encontrado,2.0
3842,Nome não encontrado,1.0
3843,Nome não encontrado,6.0
3844,Nome não encontrado,0.0
3845,Nome não encontrado,0.0
3846,Nome não encontrado,0.0
3847,Nome não encontrado,5.0
3848,Nome não encontrado,2.0
3850,Nome não encontrado,0.0
3851,Nome não encontrado,0.0
3852,Nome não encontrado,0.0
3853,Nome não encontrado,0.0
3854,Nome não encontrado,2.0
3855,Nome não encontrado,0.0
3856,Nome não encontrado,0.0
3858,Nome não encontrado,1.0
3859,Nome não encontrado,1.0
3860,Nome não encontrado,1.0
3861,Nome não encontrado,0.0
3862,Nome não encontrado,0.0
3863,Nome não encontrado,0.0
3864,Nome não encontrado,0.0
3866,Nome não encontrado,0.0
3867,Nome não encontrado,1.0
3868,Nome não encontrado,2.0
3870,Nome não encontrado,0.0
3871,Nome não encontrado,0.0
3872,Nome não encontrado,0.0
3874,Nome não encontrado,0.0
3875,Nome não encontrado,0.0
3876,Nome não encontrado,0.0
3877,Nome não encontrado,0.0
3878,Nome não encontrado,0.0
3879,Nome não encontrado,0.0
388,Nome não encontrado,1.0
3880,Nome não encontrado,0.0
3881,Nome não encontrado,0.0
3882,Nome não encontrado,0.0
3883,Nome não encontrado,0.0
3884,Nome não encontrado,1.0
3886,Nome não encontrado,1.0
3887,Nome não encontrado,3.0
3888,Nome não encontrado,2.0
3890,Nome não encontrado,0.0
3891,Nome não encontrado,1.0
3892,Nome não encontrado,0.0
3893,Nome não encontrado,0.0
3894,Nome não encontrado,0.0
3897,Nome não encontrado,1.0
3898,Nome não encontrado,0.0
390,Nome não encontrado,1.0
3900,Nome não encontrado,0.0
3901,Nome não encontrado,1.0
3902,Nome não encontrado,0.0
3903,Nome não encontrado,1.0
3904,Nome não encontrado,1.0
3905,Nome não encontrado,0.0
3906,Nome não encontrado,1.0
3907,Nome não encontrado,0.0
3908,Nome não encontrado,0.0
3909,Nome não encontrado,0.0
391,Nome não encontrado,0.0
3910,Nome não encontrado,0.0
3911,Nome não encontrado,0.0
3912,Nome não encontrado,1.0
3913,Nome não encontrado,1.0
3914,Nome não encontrado,0.0
3915,Nome não encontrado,1.0
3916,Nome não encontrado,18.0
3917,Nome não encontrado,0.0
3918,Nome não encontrado,0.0
3919,Nome não encontrado,4.0
3920,Nome não encontrado,0.0
3921,Nome não encontrado,0.0
3922,Nome não encontrado,0.0
3923,Nome não encontrado,0.0
3924,Nome não encontrado,0.0
3925,Nome não encontrado,0.0
3926,Nome não encontrado,43.0
3927,Nome não encontrado,0.0
3928,Nome não encontrado,0.0
3929,Nome não encontrado,0.0
3930,Nome não encontrado,1.0
3931,Nome não encontrado,0.0
3932,Nome não encontrado,0.0
3933,Nome não encontrado,0.0
3934,Nome não encontrado,30.0
3935,Nome não encontrado,1.0
3936,Nome não encontrado,0.0
3938,Nome não encontrado,1.0
3939,Nome não encontrado,5.0
394,Nome não encontrado,5.0
3941,Nome não encontrado,5.0
3943,Nome não encontrado,0.0
3944,Nome não encontrado,1.0
3945,Nome não encontrado,9.0
3946,Nome não encontrado,6.0
3947,Nome não encontrado,0.0
3948,Nome não encontrado,0.0
3949,Nome não encontrado,0.0
3950,Nome não encontrado,0.0
3951,Nome não encontrado,0.0
3952,Nome não encontrado,0.0
3954,Nome não encontrado,0.0
3955,Nome não encontrado,0.0
3956,Nome não encontrado,0.0
3957,Nome não encontrado,1.0
3958,Nome não encontrado,0.0
3959,Nome não encontrado,0.0
3960,Nome não encontrado,2.0
3961,Nome não encontrado,0.0
3962,Nome não encontrado,0.0
3963,Nome não encontrado,0.0
3964,Nome não encontrado,0.0
3965,Nome não encontrado,0.0
3966,Nome não encontrado,0.0
3967,Nome não encontrado,0.0
3968,Nome não encontrado,0.0
3969,Nome não encontrado,1.0
3970,Nome não encontrado,1.0
3971,Nome não encontrado,0.0
3972,Nome não encontrado,0.0
3973,Nome não encontrado,4.0
3974,Nome não encontrado,0.0
3975,Nome não encontrado,12.0
3976,Nome não encontrado,0.0
3977,Nome não encontrado,2.0
3978,Nome não encontrado,0.0
3979,Nome não encontrado,1.0
3980,Nome não encontrado,10.0
3981,Nome não encontrado,0.0
3982,Nome não encontrado,0.0
3983,Nome não encontrado,0.0
3984,Nome não encontrado,0.0
3985,Nome não encontrado,0.0
3986,Nome não encontrado,0.0
3987,Nome não encontrado,1.0
3988,Nome não encontrado,3.0
3989,Nome não encontrado,0.0
3990,Nome não encontrado,0.0
3991,Nome não encontrado,1.0
3992,Nome não encontrado,3.0
3993,Nome não encontrado,6.0
3994,Nome não encontrado,2.0
3995,Nome não encontrado,0.0
3996,Nome não encontrado,0.0
3997,Nome não encontrado,0.0
3998,Nome não encontrado,1004.0
3999,Nome não encontrado,0.0
4000,Nome não encontrado,1.0
4001,Nome não encontrado,0.0
4002,Nome não encontrado,1.0
4003,Nome não encontrado,2.0
4004,Nome não encontrado,1151.0
4005,Nome não encontrado,206.0
4006,Nome não encontrado,0.0
4007,Nome não encontrado,0.0
4008,Nome não encontrado,0.0
4009,Nome não encontrado,0.0
4010,Nome não encontrado,0.0
4011,Nome não encontrado,0.0
4012,Nome não encontrado,0.0
4013,Nome não encontrado,0.0
4014,Nome não encontrado,0.0
4015,Nome não encontrado,0.0
4016,Nome não encontrado,0.0
4017,Nome não encontrado,3.0
4018,Nome não encontrado,1.0
4019,Nome não encontrado,1.0
4020,Nome não encontrado,0.0
4021,Nome não encontrado,0.0
4022,Nome não encontrado,0.0
4023,Nome não encontrado,10.0
4024,Nome não encontrado,15.0
4025,Nome não encontrado,0.0
4026,Nome não encontrado,0.0
4027,Nome não encontrado,0.0
4028,Nome não encontrado,1.0
4030,Nome não encontrado,0.0
4031,Nome não encontrado,0.0
4032,Nome não encontrado,2.0
4034,Nome não encontrado,0.0
4036,Nome não encontrado,0.0
4037,Nome não encontrado,0.0
4038,Nome não encontrado,1.0
4040,Nome não encontrado,0.0
4041,Nome não encontrado,7.0
4042,Nome não encontrado,0.0
4043,Nome não encontrado,0.0
4044,Nome não encontrado,2.0
4045,Nome não encontrado,0.0
4046,Nome não encontrado,2.0
4048,Nome não encontrado,12.0
4049,Nome não encontrado,0.0
