codigo;referencia;nome;grupo;estoque_31_12_2024;estoque_atual;diferenca_quantidade;preco_custo;valor_total_31_12_2024;valor_total_atual;diferenca_valor;movimentacoes_revertidas;saldos_redefinidos
4474;D1312362;SELO DE LIMPEZA - 6002(SUBST O B0652362);PEÇAS;0,0;0,0;0,0;11,79;0,0;0,0;0,0;0;0
4475;70041104;TONER CYAN/RC AF MPC2051/2551 PERF 230G KT;SUPRIMENTOS;0,0;0,0;0,0;279,97;0,0;0,0;0,0;0;0
4476;70041105;TONER MAGENTA/PC AF MPC2051/2551 PERF 230G KT;SUPRIMENTOS;0,0;0,0;0,0;279,97;0,0;0,0;0,0;0;0
4477;70041106;TONER AMARELO/RC AF MPC2051/2551 PERF 230G KT;SUPRIMENTOS;0,0;0,0;0,0;325,81;0,0;0,0;0,0;0;0
4478;70041103;TONER PRETO/RC AF MPC2051/2551 PERF 230G KT;SUPRIMENTOS;0,0;0,0;0,0;76,0;0,0;0,0;0,0;0;0
4479;70027305;ROLO FUSOR SUPERIOR/RC AF 1515/PERF KT;PEÇAS;0,0;0,0;0,0;92,27;0,0;0,0;0,0;0;0
448;C2293011;CLAMPER CILINDRO 5308;PEÇAS;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0
4480;V9715500525;SIST.MULTF.MPC2051;MAQUINAS USADAS;1,0;1,0;0,0;6180,74;6180,74;6180,74;0,0;0;0
4481;841768R;TONER MP 2501 MP2001 RICOH;SUPRIMENTOS;0,0;0,0;0,0;129,0;0,0;0,0;0,0;0;0
4482;D1589640;REVELADOR K MP2501SP RICOH;SUPRIMENTOS;0,0;0,0;0,0;494,0;0,0;0,0;0,0;0;0
4483;416494CR;COPIADORA DIGITAL AFICIO MP2001 C/TAMPA MR RICOH;COPIADORAS;0,0;0,0;0,0;2870,0;0,0;0,0;0,0;0;0
4484;;Produto 4484;Sem Grupo;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0
4485;8415;TONER COLORIDO P/ MULTIFUNCIONAL MPC2050;SUPRIMENTOS;0,0;0,0;0,0;10,0;0,0;0,0;0,0;0;0
4486;70022954;ROLO INFERIOR DE PRESSAO/RC AF 1013/PERFORMANCE;PEÇAS;0,0;0,0;0,0;79,94;0,0;0,0;0,0;0;0
4487;S9028600039;SIST.MULT.MONO SHINKA SP5200S-BRANCA DE NEVE;MAQUINAS USADAS;1,0;1,0;0,0;4348,91;4348,91;4348,91;0,0;0;0
4489;407332R;UNIDADE DE IMAGEM SP 3500BR;SUPRIMENTOS;0,0;0,0;0,0;199,0;0,0;0,0;0,0;0;0
449;C2312416;CLAMPER DO CILINDRO 5306/5308(C2312415);PEÇAS;1,0;1,0;0,0;140,11;140,11;140,11;0,0;0;0
4490;AW110102;TERMOSTATO INTERMEDIARIO SUPERIOR - MPC2051;PEÇAS;2,0;2,0;0,0;43,98;87,96;87,96;0,0;0;0
4491;D0965101;PLACA BICU MP1900;PEÇAS;1,0;1,0;0,0;1359,97;1359,97;1359,97;0,0;0;0
4492;B2621667;SUPORTE ESQUERDO DO ARDF - MP 171.;PEÇAS;0,0;0,0;0,0;34,0;0,0;0,0;0,0;0;0
4493;405688R;CARTUCHO DE TINTA DE IMPRESSAO PRETA GXE3300N;SUPRIMENTOS;0,0;0,0;0,0;96,25;0,0;0,0;0,0;0;0
4494;AE020209;ROLO DE PRESSAO-DSM651/660/675/755;PEÇAS;2,0;2,0;0,0;345,4;690,8;690,8;0,0;0;0
4495;AW100131;TERMISTOR CENTRAL-DSM660/MP6001/7001/8001.;PEÇAS;0,0;0,0;0,0;48,86;0,0;0,0;0,0;0;0
4496;AW100132;TERMISTOR-DSM675/651/660.;PEÇAS;4,0;4,0;0,0;19,92;79,68;79,68;0,0;0;0
4497;A2943572;SELO TRASEIRO-7502/8502;PEÇAS;0,0;0,0;0,0;10,89;0,0;0,0;0,0;0;0
4498;AA153157;SELO - P7575;PEÇAS;0,0;0,0;0,0;3,09;0,0;0,0;0,0;0;0
4499;AE030017;ROLAMENTO 6907Z C/TRAVA KOYO-6002;PEÇAS;0,0;0,0;0,0;31,8;0,0;0,0;0,0;0;0
45;343;ALCOOL P/DUPLICADOR MR BANBINE;Sem Grupo;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0
450;C2293002;CLAMPER DO CILINDRO IMPRESSAO 5450;Sem Grupo;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0
4500;AE032014;BUCHA 30X35X13.5MM;PEÇAS;0,0;0,0;0,0;31,08;0,0;0,0;0,0;0;0
4501;AX440163;LAMPADA FUSORA 120V-550W-6002/7502/P7675;PEÇAS;0,0;0,0;0,0;50,52;0,0;0,0;0,0;0;0
4502;B0392619;MESA DO BY-PASS - 1502.;PEÇAS;0,0;0,0;0,0;43,63;0,0;0,0;0,0;0;0
4503;B1102326;ESPIRAL DE COLETA DE TONER-6002;PEÇAS;1,0;1,0;0,0;48,31;48,31;48,31;0,0;0;0
4504;B1404498;FIACAO DO SENSOR - MP8000;PEÇAS;1,0;1,0;0,0;7,11;7,11;7,11;0,0;0;0
4505;S9028800929;SIST.MULT.MONO.SHINKA SP5200S.FUND.CEA;MAQUINAS USADAS;1,0;1,0;0,0;4348,91;4348,91;4348,91;0,0;0;0
4507;B0444663;CHAPA GUIA - TRANSPORTE DO PAPEL 1302;PEÇAS;1,0;1,0;0,0;72,51;72,51;72,51;0,0;0;0
4509;B0443990;MOLA DE POSICIONAMENTO TRANSF-1302;PEÇAS;0,0;0,0;0,0;3,06;0,0;0,0;0,0;0;0
451;C2074948;CLAMPER DO CILINDRO P/5315;Sem Grupo;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0
4511;AE044072;UNHA DE SEPARACAO MP301.;PEÇAS;0,0;0,0;0,0;8,97;0,0;0,0;0,0;0;0
4512;D1274458;CHAPA GUIA MP301;PEÇAS;2,0;2,0;0,0;36,75;73,5;73,5;0,0;0;0
4513;;Produto 4513;Sem Grupo;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0
4514;D1273020;UNID DE ALIMENTAÇÃO DE TONER MP301.;PEÇAS;1,0;1,0;0,0;305,57;305,57;305,57;0,0;0;0
4515;D1273802;ROLO DE TRANSFERENCIA MP301;PEÇAS;0,0;0,0;0,0;424,05;0,0;0,0;0,0;0;0
4516;B0653071;MANOPLA DA REVELACAO DSM675;PEÇAS;3,0;3,0;0,0;19,83;59,49;59,49;0,0;0;0
4517;B0391361;PRESILHA MAGNETICA DSM721D;PEÇAS;5,0;5,0;0,0;12,58;62,9;62,9;0,0;0;0
4518;CHRCSP5200;CHIP RICOH AF SP 5200/5210 25K;PEÇAS;0,0;0,0;0,0;19,8;0,0;0,0;0,0;0;0
4519;TNRCAF5200;TONER RICOH AF SP 5200 750GR;SUPRIMENTOS;0,0;0,0;0,0;76,5;0,0;0,0;0,0;0;0
452;24;CLASSIFICADOR COMERCIAL;Sem Grupo;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0
4521;D0392735;TAMPA  MESA ALIMENTACAO MANUAL MP2030.;PEÇAS;0,0;0,0;0,0;275,0;0,0;0,0;0,0;0;0
4522;08050089;CUPILHA 10512 MP-2051;PEÇAS;0,0;0,0;0,0;0,01;0,0;0,0;0,0;0;0
4523;B2233252;BOMBA DA UNIDADE DE ALIM DE TONER Y - DSC545;SUPRIMENTOS;0,0;0,0;0,0;263,26;0,0;0,0;0,0;0;0
4524;C2672428;BOMBA DE TINTA B4-6143;PEÇAS;0,0;0,0;0,0;517,55;0,0;0,0;0,0;0;0
4526;D0396405;COLETOR DE TONER MPC2030/50/2550.;PEÇAS;7,0;7,0;0,0;43,24;302,68;302,68;0,0;0;0
4528;B2231484;PAINEL DE TOQUE DSC525;PEÇAS;0,0;0,0;0,0;235,17;0,0;0,0;0,0;0;0
4529;W802P300438;SIST.MULTFUNC.COLOR.MPC305SP-THB;MAQUINAS USADAS;1,0;1,0;0,0;2500,0;2500,0;2500,0;0,0;0;0
