codigo,referencia,nome,estoque_31_12_2024,estoque_atual,diferenca_quantidade,preco_custo,valor_total_31_12_2024,valor_total_atual,diferenca_valor,movimentacoes_revertidas,saldos_redefinidos
833,72118160,ENGRENAGEM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
834,C2312145,ENGRENAGEM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
835,C2004748,ENGRENAGEM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
836,AB040006,ENGRENAGEM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
837,AB011346,ENGRENAGEM 27Z,2.0,2.0,0.0,1.15,2.3,2.3,0.0,0,0
838,A1731097,ENGRENAGEM,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0,0
839,A1731085,ENGRENAGEM,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0,0
84,C2005541,ARMADURA DE PRESSAO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
840,AB011378,ENGRENAGEM,2.0,2.0,0.0,1.13,2.26,2.26,0.0,0,0
841,H3073117,ENGRENAGEM (H5223117),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
842,54032016,ENGRENAGEM 11 DENTES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
843,C2003610,ENGRENAGEM 116TH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
844,AB010092,ENGRENAGEM 120 DENTES 2622S,2.0,2.0,0.0,3.56,7.12,7.12,0.0,0,0
